experiment_id,date,status,code_commit,dataset,site_id,frequency,mode,seq_len,pred_len,nwp_columns,train_ratio,val_ratio,test_ratio,seed,batch_size,max_epochs,limit_train_batches,limit_val_batches,limit_test_batches,history_shape,nwp_shape,prediction_shape,train_loss_last,val_loss,test_loss,mae,rmse,test_samples,chronos_aligned,manifest_test_rows,output_dir,notes
fusionsf_solar_gefcom_zone1_pred1_power_smoke,2026-08-01,smoke_passed,913a9fa,GEFCom,zone1,1h,power,336,1,,0.6,0.1,0.3,42,8,1,2,2,2,"[8,336,1]",,"[8,1,1]",1.0422618389129639,1.4397462606430054,1.4432121515274048,0.28552109003067017,0.30851590633392334,16,true,3648,outputs/solar_energy_smoke/gefcom_zone1_pred1_power,"Pipeline-validation metric only; run executed from dirty tree then implementation committed as 913a9fa"
fusionsf_solar_gefcom_zone1_pred1_power_nwp_smoke,2026-08-01,smoke_passed,913a9fa,GEFCom,zone1,1h,power_nwp,336,1,"VAR78|VAR79|VAR157|VAR164|VAR169|VAR178",0.6,0.1,0.3,42,8,1,2,2,2,"[8,336,1]","[8,1,6]","[8,1,1]",1.0097613334655762,1.3913442492485046,1.1691566109657288,0.2547672390937805,0.27768266201019287,16,true,3648,outputs/solar_energy_smoke/gefcom_zone1_pred1_power_nwp,"Pipeline-validation metric only; run executed from dirty tree then implementation committed as 913a9fa"
