model,mae,rmse,mse,windows,prediction_length,values,mae_change_vs_all_pct,rmse_change_vs_all_pct,mse_change_vs_all_pct
Power,0.1787382870512667,0.3044931048326546,0.09271605089063,25580,24,613920,341.1132166402011,254.8501460423074,1159.1862614624686
Power + NWP,0.1787382870512667,0.3044931048326546,0.09271605089063,25580,24,613920,341.1132166402011,254.8501460423074,1159.1862614624686
All modalities,0.04051982128593907,0.08580892757934813,0.007363172052317813,25580,24,613920,0.0,0.0,0.0
